target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Cd,500,2,0.001,0.5575887842246681,0.24196151834993768
Cd,500,3,0.1,0.36660696573969115,0.48898738858891544
Cd,500,3,0.01,0.34459846388451915,0.5313238540289054
Cd,500,3,0.001,0.5202405955921632,0.2937752536880403
Cd,500,5,0.1,0.33758921781227136,0.5373936639469081
Cd,500,5,0.01,0.34160978326728325,0.5347567372325612
Cd,500,5,0.001,0.5035784128605028,0.3184699262502216
Cd,1000,1,0.1,0.3497368516982279,0.5151671961963207
Cd,1000,1,0.01,0.35767903393520706,0.5132252748794149
Cd,1000,1,0.001,0.5215348036696639,0.29223173873982095
Cd,1000,2,0.1,0.40782190371794175,0.4237651467842081
Cd,1000,2,0.01,0.36454150096974575,0.5025398898397624
Cd,1000,2,0.001,0.46720517272081247,0.36882978029193214
Cd,1000,3,0.1,0.36988060631297026,0.4835248002218049
Cd,1000,3,0.01,0.3427830415093531,0.5313577813888062
Cd,1000,3,0.001,0.4286778461924235,0.42137131516233933
Cd,1000,5,0.1,0.3375892605363304,0.5373935893702412
Cd,1000,5,0.01,0.3401067223585433,0.5359009026725228
Cd,1000,5,0.001,0.4072489020260268,0.45231237177242783
Cd,3000,1,0.1,0.3714148686752607,0.48117036512530553
Cd,3000,1,0.01,0.35054805969782565,0.5179278559702559
Cd,3000,1,0.001,0.4114088847571501,0.44243989501837183
Cd,3000,2,0.1,0.4213862228191106,0.40275390249842624
Cd,3000,2,0.01,0.374729986380359,0.47954208759970285
Cd,3000,2,0.001,0.37142168877073045,0.4970244727823788
Cd,3000,3,0.1,0.37020756030859114,0.48293839396833177
Cd,3000,3,0.01,0.3578959136862595,0.5021348106426458
Cd,3000,3,0.001,0.35153398469207114,0.5224380262627027
Cd,3000,5,0.1,0.3375892666397881,0.5373935821065413
Cd,3000,5,0.01,0.341971611766622,0.5322972912290319
Cd,3000,5,0.001,0.34614765788256807,0.5297249749232237
Co,10,1,0.1,6.940599663515835,0.4421521619851777
Co,10,1,0.01,11.663534153652837,0.06516765526536175
Co,10,1,0.001,12.680714402557053,-0.01615139021278982
Co,10,2,0.1,5.964650612851889,0.5210194904036788
Co,10,2,0.01,11.458138790117044,0.08150582503609997
Co,10,2,0.001,12.660667027923548,-0.014541235209677006
Co,10,3,0.1,5.614747796202441,0.5489549044052608
Co,10,3,0.01,11.370150283583373,0.08859911106476519
Co,10,3,0.001,12.652613832183146,-0.013887440282735964
Co,10,5,0.1,4.758733707227731,0.6174200964178902
Co,10,5,0.01,11.202009605906722,0.10191724160231966
Co,10,5,0.001,12.63116615845259,-0.012177096408374477
Co,50,1,0.1,4.575668137696928,0.6324233282591549
Co,50,1,0.01,8.721268363781189,0.30006479386323515
Co,50,1,0.001,12.205215033078137,0.0218542145766357
Co,50,2,0.1,4.010779748284133,0.678070108181925
Co,50,2,0.01,8.091884484641067,0.3506261539475727
Co,50,2,0.001,12.100355057476175,0.030215549370498373
Co,50,3,0.1,3.7407859100264367,0.6998318578536166
Co,50,3,0.01,7.685782955149743,0.38298069408464785
Co,50,3,0.001,12.059587939710777,0.03351659485126246
Co,50,5,0.1,3.50317928209954,0.7195139141351691
Co,50,5,0.01,7.100571681620371,0.42977565441374904
Co,50,5,0.001,11.967434097104686,0.04082540840980742
Co,100,1,0.1,4.252292140262734,0.6586855202379696
Co,100,1,0.01,7.018095953994296,0.43588332843048166
Co,100,1,0.001,11.665855565734628,0.06497226498622818
Co,100,2,0.1,3.7908408539707175,0.6955846066756368
Co,100,2,0.01,6.116293318697011,0.5088759999572401
Co,100,2,0.001,11.464117521747037,0.08103775277763589
Co,100,3,0.1,3.6295831294866625,0.7088873404514244
Co,100,3,0.01,5.7059244234938165,0.5417293456016232
Co,100,3,0.001,11.37623741128661,0.08810447690080572
Co,100,5,0.1,3.479059245464112,0.7216449397093337
Co,100,5,0.01,4.922252691533389,0.6040375465279947
Co,100,5,0.001,11.208258062536213,0.1014027331051095
Co,500,1,0.1,4.1546907801537465,0.6672103491990327
Co,500,1,0.01,4.610296108813087,0.6296015984215395
Co,500,1,0.001,8.734708869467067,0.2990054270237554
Co,500,2,0.1,4.028641346983153,0.6763259015931666
Co,500,2,0.01,4.020710525374331,0.6770575902412623
Co,500,2,0.001,8.102731118764314,0.34976428080376454
Co,500,3,0.1,3.682771058025639,0.7054427670924466
Co,500,3,0.01,3.767859723570646,0.6978511732959086
Co,500,3,0.001,7.702397409653519,0.3816811122886155
Co,500,5,0.1,3.48309221376032,0.7212102686867689
Co,500,5,0.01,3.5021303442067357,0.7191891887329744
Co,500,5,0.001,7.111521891401589,0.4289074034462511
Co,1000,1,0.1,4.356293139032443,0.6510234320303908
Co,1000,1,0.01,4.2838920213251415,0.6560569613270696
Co,1000,1,0.001,7.029745707038039,0.4349537948922569
Co,1000,2,0.1,4.2171300297004475,0.6611267788895064
Co,1000,2,0.01,3.7731446533615802,0.697127155622299
Co,1000,2,0.001,6.126244272687028,0.5080681308136369
Co,1000,3,0.1,3.734076840895473,0.7013112267460658
Co,1000,3,0.01,3.6858807599389984,0.7046607042058481
Co,1000,3,0.001,5.721825355038956,0.5404713474366262
Co,1000,5,0.1,3.4835199729599062,0.721175416991503
Co,1000,5,0.01,3.53534133580758,0.7167318176655612
Co,1000,5,0.001,4.929016557323656,0.6035024999930503
Co,3000,1,0.1,4.797931805777798,0.615394873052584
Co,3000,1,0.01,4.13229193553289,0.668830072407114
Co,3000,1,0.001,5.1411624099560544,0.5867448187570794
Co,3000,2,0.1,4.468396568077251,0.6413270132212495
Co,3000,2,0.01,3.7947088712934702,0.6953457747324349
Co,3000,2,0.001,4.3440969607618936,0.6507310529860634
Co,3000,3,0.1,3.7426608327951776,0.7006371190383002
Co,3000,3,0.01,3.693539135960979,0.7041044099134208
Co,3000,3,0.001,3.997930813746109,0.6791772804223384
Co,3000,5,0.1,3.4835200471625756,0.721175410550999
Co,3000,5,0.01,3.5393294545454617,0.7166574106809541
Co,3000,5,0.001,3.5320530782255446,0.7164049938029401
Cu,10,1,0.1,271.9487242181215,0.46768500125526435
Cu,10,1,0.01,456.1566359540003,0.06396482174709303
Cu,10,1,0.001,493.840798295897,-0.018661713605400254
Cu,10,2,0.1,230.5069025260612,0.5604208058171659
Cu,10,2,0.01,447.244266452204,0.08423352162264515
Cu,10,2,0.001,492.8591576237403,-0.01643082756383365
Cu,10,3,0.1,233.7542696810962,0.5659653653641538
Cu,10,3,0.01,450.04949517519344,0.08450235749809103
Cu,10,3,0.001,493.21712882501936,-0.016515257074587453
Cu,10,5,0.1,226.16929458370197,0.5875966699493516
Cu,10,5,0.01,447.156805067385,0.09263861942935421
Cu,10,5,0.001,492.91021868894757,-0.015644952558134872
Cu,50,1,0.1,174.22194095319043,0.6856702072587664
Cu,50,1,0.01,344.4503567647097,0.30938381700371986
Cu,50,1,0.001,476.38349739498136,0.01961750722765998
Cu,50,2,0.1,160.55849511925499,0.7103237678756762
Cu,50,2,0.01,315.80565310383145,0.37599425738324416
Cu,50,2,0.001,471.6428448087786,0.030361656774612424
Cu,50,3,0.1,167.9582150119236,0.7032866608327721
Cu,50,3,0.01,319.8609627167906,0.38073841699124944
Cu,50,3,0.001,473.2135269445633,0.030367544670782
Cu,50,5,0.1,163.37072627103151,0.7076285355614218
Cu,50,5,0.01,314.6126024259162,0.39654957030585114
Cu,50,5,0.001,471.66654046698494,0.03467753633560353
Cu,100,1,0.1,166.09088462762818,0.7034357310965008
