target,n_estimators,max_depth,learning_rate,average_mse,average_r2
LBL_ALLminp0_fut_001,100,2,0.01,19727.5779296875,0.6824346423149109
LBL_ALLminp0_fut_001,100,2,0.001,54452.69375,0.12882568836212158
LBL_ALLminp0_fut_001,100,3,0.1,10974.4478515625,0.8216007590293884
LBL_ALLminp0_fut_001,100,3,0.01,18759.075390625,0.6965937614440918
LBL_ALLminp0_fut_001,100,3,0.001,53596.63984375,0.14216623306274415
LBL_ALLminp0_fut_001,100,5,0.1,11233.6404296875,0.8164167046546936
LBL_ALLminp0_fut_001,100,5,0.01,18837.6259765625,0.693491804599762
LBL_ALLminp0_fut_001,100,5,0.001,53701.13125,0.14006636142730713
LBL_ALLminp0_fut_001,500,1,0.1,10056.57802734375,0.8318105697631836
LBL_ALLminp0_fut_001,500,1,0.01,10909.1970703125,0.8215566873550415
LBL_ALLminp0_fut_001,500,1,0.001,35753.4515625,0.43275065422058107
LBL_ALLminp0_fut_001,500,2,0.1,10222.8064453125,0.8307730078697204
LBL_ALLminp0_fut_001,500,2,0.01,10522.77080078125,0.8261754393577576
LBL_ALLminp0_fut_001,500,2,0.001,32352.552734375,0.48149538040161133
LBL_ALLminp0_fut_001,500,3,0.1,10967.9287109375,0.8217260837554932
LBL_ALLminp0_fut_001,500,3,0.01,10669.38046875,0.825791347026825
LBL_ALLminp0_fut_001,500,3,0.001,30890.560546875,0.5018291115760803
LBL_ALLminp0_fut_001,500,5,0.1,11209.563671875,0.8168452978134155
LBL_ALLminp0_fut_001,500,5,0.01,11149.81064453125,0.8155152440071106
LBL_ALLminp0_fut_001,500,5,0.001,31194.19296875,0.4979057312011719
LBL_ALLminp0_fut_001,1000,1,0.1,10288.80478515625,0.8272181391716004
LBL_ALLminp0_fut_001,1000,1,0.01,10331.90478515625,0.8294957280158997
LBL_ALLminp0_fut_001,1000,1,0.001,23944.7083984375,0.6195769786834717
LBL_ALLminp0_fut_001,1000,2,0.1,10188.72255859375,0.8312059283256531
LBL_ALLminp0_fut_001,1000,2,0.01,10212.38779296875,0.830482029914856
LBL_ALLminp0_fut_001,1000,2,0.001,19816.1455078125,0.6809033155441284
LBL_ALLminp0_fut_001,1000,3,0.1,10958.98603515625,0.8218718051910401
LBL_ALLminp0_fut_001,1000,3,0.01,10527.09306640625,0.8283031702041626
LBL_ALLminp0_fut_001,1000,3,0.001,18787.828515625,0.6960608005523682
LBL_ALLminp0_fut_001,1000,5,0.1,11209.55478515625,0.8168454527854919
LBL_ALLminp0_fut_001,1000,5,0.01,11121.1814453125,0.8158846378326416
LBL_ALLminp0_fut_001,1000,5,0.001,18927.6107421875,0.6920563697814941
LBL_ALLminp0_fut_001,3000,1,0.1,10644.5826171875,0.8203440546989441
LBL_ALLminp0_fut_001,3000,1,0.01,10048.459375,0.8323590278625488
LBL_ALLminp0_fut_001,3000,1,0.001,12482.3640625,0.7979618906974792
LBL_ALLminp0_fut_001,3000,2,0.1,10186.04521484375,0.8312418222427368
LBL_ALLminp0_fut_001,3000,2,0.01,10290.92548828125,0.8299360990524292
LBL_ALLminp0_fut_001,3000,2,0.001,11024.8841796875,0.8194957256317139
LBL_ALLminp0_fut_001,3000,3,0.1,10958.80322265625,0.8218753218650818
LBL_ALLminp0_fut_001,3000,3,0.01,10505.80849609375,0.8289001226425171
LBL_ALLminp0_fut_001,3000,3,0.001,11080.897265625,0.8198805451393127
LBL_ALLminp0_fut_001,3000,5,0.1,11209.55478515625,0.8168454527854919
LBL_ALLminp0_fut_001,3000,5,0.01,11090.95576171875,0.8163802266120911
LBL_ALLminp0_fut_001,3000,5,0.001,11396.1787109375,0.8116034030914306
LBL_aDLminpA_fut_001,10,1,0.1,13744.71953125,0.5865920305252075
