n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,mse_3,mse_4,mse_5,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5
50,2,0.1,multi_output_tree,2221.1899246578523,9177.811543916581,5869.188894552495,2753.909806329932,2873.110552745683,2927.6712978124315,0.7541231783285129,0.8509513987010037,0.8167091742770101,0.8945633907130173,0.7737172156193524,0.8980246556869671
50,2,0.01,multi_output_tree,9377.281641751124,33235.41393868381,18654.037396115025,14856.855447345635,10249.110975104784,16302.527859425414,-0.009970915616011577,0.4736805919986574,0.44149676869420507,0.4516903040176071,0.24650782094675794,0.45046238119140847
50,2,0.001,multi_output_tree,17906.706559407645,58840.299926893305,33277.609404637114,28373.12991826412,18268.918075437265,30894.371056905737,-0.9731117661952166,0.059324177608723924,0.005317640965783199,-0.04936629815924296,-0.3521733846863945,-0.045777508716802216
50,3,0.1,multi_output_tree,1806.2917835790176,9389.424376133487,5624.966679401871,2171.720218901509,2418.322267307523,2372.6525137667836,0.8007747357753476,0.8475429911154204,0.8240031391123489,0.9159294092176127,0.814556016623093,0.9166559737531313
50,3,0.01,multi_output_tree,9294.096518619897,32093.654170582297,18428.631727606178,14358.755494238445,10147.367407247157,15689.761632733804,-0.0054955392133883675,0.48898698904076526,0.4481815930777911,0.4704447103893431,0.2530373524681563,0.47132197521876407
50,3,0.001,multi_output_tree,17902.300755904453,58671.08405228332,33253.9135837935,28244.021238054836,18275.8056397197,30749.793187132287,-0.9735669385099476,0.061838564157536705,0.006019703359900252,-0.04493451693341823,-0.3531206980562843,-0.04130898379416335
50,5,0.1,multi_output_tree,1832.7510488555247,9324.004794918501,5779.764890740128,2045.6759722122242,2347.625019900817,2238.184898882805,0.7975063978273516,0.8452221810262346,0.8191306861608553,0.9189953502869942,0.8210228519664673,0.9195899528558448
50,5,0.01,multi_output_tree,9285.353791059846,32089.22288399174,18543.27806499087,14437.022534912514,10004.561636495622,15776.840324755827,-0.008307527550656335,0.489180511292951,0.44520159042051366,0.46695333594370664,0.2641668046123831,0.46787380701494746
50,5,0.001,multi_output_tree,17928.447144761638,58585.3689441561,33237.656561452786,28240.473913352926,18280.002844554867,30742.6908160144,-0.9767611365946994,0.06327852545650978,0.006446439963701089,-0.04464603741806132,-0.3534541167456201,-0.04090970990299081
100,1,0.1,multi_output_tree,2668.412383364836,10443.13443239454,6240.799741633045,3957.269782957832,3389.3426247335724,4505.100814378767,0.7113860664575608,0.8290750994240795,0.8038846621162058,0.8500336808620164,0.7351151043223625,0.8445969918178952
