target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Y2,10,3,0.01,75.63612282721995,0.15701224199013417
Y2,10,3,0.001,89.08364078070164,0.007119500219492614
Y2,10,5,0.1,14.765761058777253,0.8354104045881222
Y2,10,5,0.01,75.31597803316916,0.16062117445477678
Y2,10,5,0.001,89.04745620627313,0.007526810794669237
Y2,50,1,0.1,9.221154231247194,0.8971989894031147
Y2,50,1,0.01,44.68085643006968,0.5026334616035437
Y2,50,1,0.001,83.81825189588805,0.06593528276553744
Y2,50,2,0.1,4.157366566458039,0.953677821221269
Y2,50,2,0.01,40.04498351881984,0.5539155657309514
Y2,50,2,0.001,83.17190276116261,0.0730771051302999
Y2,50,3,0.1,3.0325505708288865,0.9662368681589623
Y2,50,3,0.01,38.107552816062686,0.5752887676626822
Y2,50,3,0.001,82.83797979394933,0.07673810590794392
Y2,50,5,0.1,2.2107768847708087,0.9754338020339646
Y2,50,5,0.01,36.63723436974867,0.591638631733123
Y2,50,5,0.001,82.66766907816975,0.07865651862300008
Y2,100,1,0.1,6.193410364081519,0.9309272782730134
Y2,100,1,0.01,27.765161097110433,0.6910464170733237
Y2,100,1,0.001,77.56794242937946,0.13570985736780936
Y2,100,2,0.1,2.8084961604250713,0.9687371137459877
Y2,100,2,0.01,20.79035768641851,0.768456862646605
Y2,100,2,0.001,76.32400371896203,0.14946024970403288
Y2,100,3,0.1,2.3486349586462354,0.973922673233411
Y2,100,3,0.01,18.131706408865327,0.7979223506444003
Y2,100,3,0.001,75.69932074557725,0.1563077217724826
Y2,100,5,0.1,1.273074332543304,0.9858547375999889
Y2,100,5,0.01,15.897328775692008,0.8227978717294778
Y2,100,5,0.001,75.37816560467529,0.15992794461384402
Y2,500,1,0.1,3.341386530243902,0.9627757967172303
Y2,500,1,0.01,9.535693007703056,0.893710357279585
Y2,500,1,0.001,44.80150347654203,0.501288408704039
Y2,500,2,0.1,2.336025189146084,0.9739895384862208
Y2,500,2,0.01,4.312019805795657,0.9520037159383099
Y2,500,2,0.001,40.179300729398,0.5524193300694031
Y2,500,3,0.1,1.273482280024674,0.9858599352132502
Y2,500,3,0.01,3.113962321535143,0.9653346926377446
Y2,500,3,0.001,38.24367475157728,0.5737680549525219
Y2,500,5,0.1,0.4831843369684659,0.9946477692700058
Y2,500,5,0.01,2.2875642835219523,0.9745979534840332
Y2,500,5,0.001,36.779049973054896,0.5900586676690825
Y2,1000,1,0.1,3.1402733047447766,0.9650135255452476
Y2,1000,1,0.01,6.308304062723731,0.9296415697637845
Y2,1000,1,0.001,27.8540065633363,0.6900583342572001
Y2,1000,2,0.1,2.382321975426973,0.973463994591841
Y2,1000,2,0.01,2.8215511386371235,0.9685718368405414
Y2,1000,2,0.001,20.896277820894625,0.7672769105511021
Y2,1000,3,0.1,1.02974306494376,0.9885532303123137
Y2,1000,3,0.01,2.426055215206854,0.9730357050400842
Y2,1000,3,0.001,18.2376233193281,0.7967420958644851
Y2,1000,5,0.1,0.4240814092618125,0.9952990745028412
Y2,1000,5,0.01,1.3821779662273297,0.9846226986148288
Y2,1000,5,0.001,16.00670260044461,0.8215776325507169
