target,n_estimators,max_depth,learning_rate,average_mse,average_r2
Co,10,1,0.1,6.940599832227987,0.4421521499349305
Co,10,1,0.01,11.663531833883377,0.06516784393403044
Co,10,1,0.001,12.680714897974267,-0.016151430794756717
Co,10,2,0.1,5.964650910184627,0.521019469387959
Co,10,2,0.01,11.458140860652927,0.08150565212030961
Co,10,2,0.001,12.660668309095634,-0.01454133174259764
Co,10,3,0.1,5.6147478964859845,0.5489548965413981
Co,10,3,0.01,11.370150071494141,0.0885991301770583
Co,10,3,0.001,12.652613363081292,-0.013887394430057598
Co,10,5,0.1,4.758733921235953,0.6174200800857805
Co,10,5,0.01,11.202010091285171,0.10191720834514895
Co,10,5,0.001,12.631166368333309,-0.01217711229430123
Co,50,1,0.1,4.575667701972945,0.632423363758922
Co,50,1,0.01,8.721266524353751,0.3000649448010429
Co,50,1,0.001,12.205216001687058,0.0218541348384766
Co,50,2,0.1,4.010779537901037,0.6780701250723113
Co,50,2,0.01,8.091884363515813,0.35062616552562564
Co,50,2,0.001,12.100353143818039,0.030215726411528476
Co,50,3,0.1,3.7407858038742026,0.6998318678648773
Co,50,3,0.01,7.6857836076145585,0.3829806467698935
Co,50,3,0.001,12.059587837001512,0.03351659977902181
Co,50,5,0.1,3.503178883493443,0.7195139432171759
Co,50,5,0.01,7.100571151087479,0.4297757044546421
Co,50,5,0.001,11.967432642207584,0.04082552267200305
Co,100,1,0.1,4.252291399598329,0.6586855823509667
Co,100,1,0.01,7.018093600910866,0.4358835220830149
Co,100,1,0.001,11.665855989873283,0.06497222109801007
Co,100,2,0.1,3.790840392766217,0.6955846436529154
Co,100,2,0.01,6.116291755807277,0.5088761305001552
Co,100,2,0.001,11.463811371561047,0.08106090856299782
Co,100,3,0.1,3.629583067555754,0.708887346292194
Co,100,3,0.01,5.705926005007273,0.5417292189050875
Co,100,3,0.001,11.376234720979905,0.08810470248173238
Co,100,5,0.1,3.4790594444065968,0.7216449218102079
Co,100,5,0.01,4.922383052435633,0.6040281422553656
Co,100,5,0.001,11.208255673146585,0.10140293312987987
Co,500,1,0.1,4.154690794861854,0.6672103479932552
Co,500,1,0.01,4.610296279572362,0.6296015780746262
Co,500,1,0.001,8.734706144461779,0.2990056126242391
Co,500,2,0.1,4.028642310408744,0.6763258220097953
Co,500,2,0.01,4.020557108945619,0.6770691775388394
Co,500,2,0.001,8.102735240871029,0.34976396365308277
Co,500,3,0.1,3.6802588711854263,0.7056666269534774
Co,500,3,0.01,3.767861038752507,0.6978510498850119
Co,500,3,0.001,7.7024453028816495,0.3816776534342659
Co,500,5,0.1,3.483465175785509,0.7211746957762861
Co,500,5,0.01,3.5249621377542075,0.7174721815292021
Co,500,5,0.001,7.111541419461898,0.4289057953470726
Co,1000,1,0.1,4.356291673218405,0.6510235549634211
Co,1000,1,0.01,4.283889452697205,0.6560571604214072
