n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,r2_0,r2_1,r2_2
50,3,0.1,multi_output_tree,0.46241350590815866,0.32212324667741543,0.3400270223324099,0.5291562894355721,0.6706508871891126,0.7007315115630046
50,3,0.1,one_output_per_tree,0.47261536091288026,0.2923237071615071,0.3366946160101743,0.5235806881997196,0.7014605175068079,0.7044553274784947
50,3,0.01,multi_output_tree,0.7514867539073191,0.654858541160406,0.6581121379047237,0.24512911820305017,0.3309606777461004,0.36538834905244455
50,3,0.01,one_output_per_tree,0.7039085730297734,0.6014480881064033,0.6413259790391682,0.29481498206763945,0.3853072103925388,0.3841020837775402
50,3,0.001,multi_output_tree,0.9659099904845323,0.9517690568096446,0.9520096865638326,0.025927288104141133,0.028953064025663555,0.031057166089847054
50,3,0.001,one_output_per_tree,0.958201752463634,0.9428526614467477,0.9495737148636678,0.03338669251288677,0.03810006478325643,0.03527617106278569
50,5,0.1,multi_output_tree,0.4937917221468611,0.30258176651952,0.3394539371353939,0.5000474260869523,0.6922375714727345,0.7069583342490173
50,5,0.1,one_output_per_tree,0.46485664357174594,0.27018596673484246,0.32651505628693706,0.5310693243572837,0.7239361680550133,0.7108266263078532
50,5,0.01,multi_output_tree,0.7114221702646903,0.6285182841623702,0.6619092527453032,0.28689808285730195,0.3588141934018869,0.3736892159750297
50,5,0.01,one_output_per_tree,0.6824573390689535,0.5559073840580597,0.631142891783015,0.31852699695943304,0.4316638135221137,0.3996810266581922
50,5,0.001,multi_output_tree,0.960680520871364,0.9486467801246544,0.9529341332997273,0.03122072354729648,0.032195856420566306,0.03355890376474417
50,5,0.001,one_output_per_tree,0.9531304301757182,0.9357342241898495,0.9464916188660857,0.03883094112632892,0.04528016912789419,0.0395777921053073
50,10,0.1,multi_output_tree,0.5283085899908523,0.34343221889495884,0.3939219090954722,0.45345018772841483,0.6529232595466095,0.6520204499987682
50,10,0.1,one_output_per_tree,0.5462744676161939,0.27779397834358815,0.38127267636272816,0.4399171042268879,0.7158611797320665,0.6572436947675249
50,10,0.01,multi_output_tree,0.7213494694363755,0.6178954043337102,0.6706923348287293,0.2766902902967582,0.3694459388503061,0.36699492046835097
50,10,0.01,one_output_per_tree,0.680198971640119,0.5501351763255288,0.6411027528537209,0.3246099239012077,0.4369832390477386,0.38915153223560767
50,10,0.001,multi_output_tree,0.9612742485393537,0.9460531812446666,0.9521364382196902,0.03043719435038501,0.03477680832288399,0.03440028480748088
50,10,0.001,one_output_per_tree,0.9526245802296313,0.9332978574624182,0.9473572140449606,0.0395324314019319,0.047737554836696325,0.03857064625054592
100,1,0.1,multi_output_tree,0.5196021097486825,0.36862014464786175,0.3570741793400712,0.47593246993483634,0.624105595946552,0.6802733782523019
100,1,0.1,one_output_per_tree,0.4823578550916337,0.3341699202249382,0.33478622878968817,0.5152788511124458,0.6584778796160851,0.7036788077439446
100,1,0.01,multi_output_tree,0.7802361869451487,0.6780822694196363,0.7234500416517212,0.21572049874699925,0.30839670747567466,0.2862218395697131
100,1,0.01,one_output_per_tree,0.7057162880983997,0.5499628715395026,0.5576545189483134,0.2931118474410826,0.4371872270925774,0.45914496509828817
100,1,0.001,multi_output_tree,0.9608349906235372,0.9351164255739013,0.9810723555451064,0.031223384084241967,0.04667484689221761,-0.00012033909126440978
100,1,0.001,one_output_per_tree,0.951073409181139,0.9120863166918964,0.9159054339017751,0.041471480601909264,0.06938867161322874,0.06812178120193961
100,2,0.1,multi_output_tree,0.4430553657814378,0.32180959760249594,0.33819373885011966,0.5483996590179063,0.6716362240378017,0.7054700900900144
100,2,0.1,one_output_per_tree,0.49466064650535985,0.29654316712898665,0.3197792519823165,0.5011491723563963,0.696859178226896,0.7076413690339537
100,2,0.01,multi_output_tree,0.6872148100536444,0.5412574321536343,0.5456675193149518,0.30996945936474124,0.4467405202002765,0.4893792530580952
100,2,0.01,one_output_per_tree,0.6328136005646436,0.47930164266221026,0.47237287065402833,0.36917648157823985,0.50997439113783,0.5527576313618534
