n_estimators,max_depth,learning_rate,multi_task_strategy,mse_0,mse_1,mse_2,r2_0,r2_1,r2_2
50,2,0.001,multi_output_tree,94.1168411206136,16.322503360558276,603.5828787320771,-136.23079379036298,-0.3068718646864817,-0.2326069899442543
50,3,0.1,multi_output_tree,0.3844318557200562,5.500643890636337,166.13208764323062,0.48532942305158483,0.5595894097486753,0.7068951551791202
50,3,0.01,multi_output_tree,39.22953162870181,12.377039089155499,378.9936348928057,-56.126811875587705,0.011003936579388428,0.27161680639578456
50,3,0.001,multi_output_tree,94.17847577335314,16.054530243878027,603.706809969229,-136.31150670072952,-0.2850176029434388,-0.22924178769476286
50,5,0.1,multi_output_tree,0.4037121287669009,4.603567326807922,163.5081948261522,0.44661390253946875,0.629837796438978,0.7013966453654379
50,5,0.01,multi_output_tree,40.416973439250114,10.890070200139451,370.63618299218973,-57.855828933371455,0.12705505638775255,0.2916489594063648
50,5,0.001,multi_output_tree,94.44124094888346,15.877409109381441,600.8923946489507,-136.68559876308925,-0.27100942090129904,-0.22207966615616095
100,1,0.1,multi_output_tree,0.4389559175289457,6.965316824885159,167.13234719348188,0.41261281323221455,0.44312998616997135,0.7017329509777968
100,1,0.01,multi_output_tree,14.718523853157274,13.190233756078058,298.6007177897125,-20.400590092012656,-0.05617203428132507,0.42491129997227245
100,1,0.001,multi_output_tree,85.24581314849186,16.036808036342432,574.9906380568739,-123.28738638608304,-0.284111448811325,-0.17065780484596918
100,2,0.1,multi_output_tree,0.34992764509618934,5.140687253637437,158.40126469762203,0.5261086920825055,0.5887918937805513,0.7149695624056893
100,2,0.01,multi_output_tree,14.768790022643197,11.754400138054995,255.60798666511988,-20.48983351660486,0.059865987029468104,0.5155608322710694
100,2,0.001,multi_output_tree,85.32497303932874,15.930494847702514,567.7295427051388,-123.40172021898607,-0.2753754189744917,-0.15443838598690696
100,3,0.1,multi_output_tree,0.3503956683290558,4.5616488979978325,165.12367925992675,0.5302608179421773,0.6353591887837815,0.708444503400624
100,3,0.01,multi_output_tree,15.012976621579517,10.152631865272953,263.81339783649673,-20.83085069975793,0.18778877437747918,0.5159860582129882
100,3,0.001,multi_output_tree,85.43162632391548,15.418582989394233,568.4029750905584,-123.54298305193576,-0.23368814473478614,-0.14897051151106497
100,5,0.1,multi_output_tree,0.39507628788726024,4.28750586000424,165.0792911785545,0.4539245380575114,0.6551740609348733,0.6963120814648451
100,5,0.01,multi_output_tree,15.91837621117504,8.44009947038228,256.7310256503242,-22.152900643710158,0.32235549673565167,0.531909243671753
100,5,0.001,multi_output_tree,85.93408765101,15.08673149432236,563.7912886914569,-124.26196427777793,-0.20732151350741565,-0.1372176820935603
500,1,0.1,multi_output_tree,0.3680606742085947,4.758706118890535,163.2708962339517,0.4994282978115711,0.6201715726975625,0.7058230008659334
500,1,0.01,multi_output_tree,0.5574949686358496,10.101838540808176,177.0280750256476,0.2415713293471478,0.1918597963757666,0.6795006541824342
500,1,0.001,multi_output_tree,38.89819365168948,14.189177763881437,399.8019278458324,-55.668838378235854,-0.13612086234533677,0.20869287960395083
500,2,0.1,multi_output_tree,0.3262076654809475,4.168169587142968,166.50717715690604,0.552654617241473,0.6666662042138267,0.6919152071662549
500,2,0.01,multi_output_tree,0.42558254192647277,6.518279163292097,160.48739710301044,0.4256874019582497,0.4781482724526841,0.7137977775699849
500,2,0.001,multi_output_tree,39.038700647279505,13.281096014718722,371.2974146123721,-55.87151531806158,-0.06201982918273423,0.2703377418619266
